Humidity,Temperature,Wind,Cloudy,Rain
Low,Cool,Strong,Yes,No
High,Cool,Weak,No,Yes
Low,Mild,Weak,No,No
Low,Hot,Strong,No,No
High,Hot,Weak,No,Yes
Low,Hot,Weak,No,No
Low,Hot,Strong,No,No
Low,Mild,Weak,Yes,No
High,Hot,Strong,No,Yes
High,Mild,Weak,Yes,Yes
High,Mild,Weak,No,Yes
Low,Mild,Weak,No,No
Low,Hot,Strong,No,No
Low,Cool,Weak,No,No
High,Mild,Strong,Yes,Yes
High,Mild,Strong,No,Yes
Low,Hot,Strong,No,No
High,Hot,Weak,Yes,Yes
Low,Cool,Strong,Yes,No
Low,Mild,Weak,Yes,No
Low,Hot,Weak,No,No
High,Mild,Strong,Yes,Yes
Low,Mild,Strong,No,No
Low,Cool,Strong,Yes,No
Low,Hot,Weak,No,No
High,Cool,Weak,Yes,Yes
High,Hot,Strong,No,No
High,Mild,Weak,Yes,Yes
High,Mild,Strong,No,Yes
Low,Hot,Weak,No,No
Low,Hot,Weak,No,No
Low,Mild,Weak,No,No
High,Cool,Weak,Yes,Yes
High,Mild,Weak,Yes,Yes
High,Cool,Strong,Yes,Yes
High,Cool,Strong,Yes,Yes
High,Mild,Strong,No,Yes
High,Cool,Weak,No,Yes
High,Hot,Weak,No,Yes
Low,Hot,Weak,No,No
High,Cool,Weak,No,Yes
Low,Cool,Strong,No,No
Low,Hot,Weak,Yes,No
High,Mild,Strong,Yes,Yes
Low,Mild,Strong,No,No
Low,Cool,Weak,No,No
High,Mild,Weak,Yes,Yes
High,Mild,Weak,No,Yes
Low,Mild,Strong,No,No
High,Mild,Weak,Yes,Yes
High,Mild,Strong,Yes,Yes
High,Cool,Weak,No,Yes
Low,Mild,Weak,No,No
Low,Hot,Strong,Yes,No
Low,Hot,Strong,No,No
Low,Mild,Strong,Yes,No
High,Cool,Weak,No,Yes
Low,Hot,Weak,Yes,Yes
High,Hot,Weak,No,Yes
High,Mild,Weak,Yes,Yes
Low,Hot,Weak,Yes,No
High,Cool,Strong,No,Yes
Low,Hot,Weak,Yes,Yes
Low,Hot,Strong,Yes,No
Low,Cool,Weak,Yes,Yes
Low,Hot,Weak,No,No
Low,Hot,Weak,No,No
High,Hot,Weak,No,Yes
High,Hot,Strong,Yes,Yes
High,Hot,Weak,Yes,Yes
High,Hot,Weak,Yes,Yes
High,Hot,Weak,No,Yes
Low,Hot,Strong,No,No
High,Mild,Strong,No,Yes
High,Mild,Strong,No,Yes
High,Mild,Strong,Yes,Yes
High,Hot,Weak,No,Yes
Low,Mild,Weak,Yes,No
Low,Cool,Weak,Yes,Yes
Low,Cool,Weak,Yes,No
Low,Hot,Weak,Yes,No
High,Hot,Strong,Yes,Yes
Low,Hot,Weak,Yes,No
High,Hot,Strong,Yes,Yes
High,Mild,Strong,No,Yes
High,Mild,Weak,Yes,Yes
Low,Hot,Weak,Yes,No
High,Mild,Strong,No,Yes
High,Mild,Weak,No,Yes
High,Hot,Weak,No,Yes
High,Cool,Weak,Yes,Yes
Low,Hot,Weak,No,No
High,Cool,Weak,Yes,Yes
High,Hot,Strong,Yes,Yes
High,Cool,Weak,No,Yes
Low,Cool,Weak,No,No
High,Cool,Weak,No,Yes
High,Cool,Weak,No,Yes
High,Cool,Strong,No,Yes
Low,Mild,Weak,Yes,No
Low,Cool,Weak,Yes,No
Low,Hot,Weak,Yes,No
High,Mild,Weak,Yes,Yes
Low,Mild,Weak,No,No
Low,Cool,Weak,Yes,No
Low,Mild,Weak,No,No
High,Mild,Strong,No,Yes
High,Mild,Weak,No,Yes
High,Hot,Weak,Yes,Yes
Low,Hot,Strong,Yes,No
High,Mild,Strong,No,Yes
High,Mild,Weak,No,Yes
High,Hot,Strong,No,No
Low,Mild,Strong,No,No
High,Mild,Strong,No,Yes
Low,Hot,Strong,Yes,No
Low,Mild,Strong,No,No
Low,Mild,Weak,Yes,No
High,Hot,Strong,No,No
Low,Cool,Weak,No,No
Low,Cool,Weak,No,No
Low,Mild,Strong,Yes,No
High,Hot,Strong,Yes,Yes
High,Mild,Weak,No,Yes
High,Cool,Strong,Yes,Yes
High,Mild,Strong,Yes,Yes
High,Cool,Weak,Yes,Yes
High,Mild,Weak,Yes,Yes
High,Mild,Weak,Yes,Yes
Low,Hot,Strong,No,No
High,Mild,Weak,Yes,Yes
Low,Hot,Weak,Yes,No
Low,Mild,Strong,Yes,No
High,Cool,Weak,Yes,Yes
Low,Hot,Strong,Yes,No
High,Mild,Strong,No,Yes
Low,Hot,Weak,Yes,No
High,Mild,Strong,Yes,Yes
Low,Hot,Strong,Yes,No
High,Cool,Weak,Yes,Yes
High,Hot,Weak,Yes,Yes
High,Cool,Weak,Yes,Yes
Low,Cool,Weak,No,No
Low,Mild,Weak,Yes,Yes
High,Cool,Strong,No,Yes
High,Cool,Weak,Yes,Yes
High,Cool,Strong,Yes,Yes
High,Hot,Strong,Yes,Yes
High,Mild,Weak,No,Yes
High,Hot,Weak,No,Yes
Low,Mild,Weak,Yes,No
Low,Hot,Strong,Yes,No
High,Mild,Strong,Yes,Yes
Low,Mild,Weak,Yes,Yes
High,Mild,Strong,No,Yes
Low,Mild,Strong,Yes,No
High,Cool,Strong,Yes,Yes
Low,Cool,Weak,No,No
Low,Mild,Weak,Yes,No
Low,Mild,Weak,Yes,No
High,Cool,Strong,No,Yes
Low,Hot,Strong,Yes,No
High,Hot,Weak,Yes,Yes
High,Hot,Weak,Yes,Yes
Low,Mild,Weak,No,No
High,Mild,Weak,Yes,Yes
Low,Cool,Weak,Yes,No
Low,Mild,Strong,Yes,No
High,Hot,Strong,Yes,Yes
Low,Cool,Weak,No,No
High,Cool,Strong,Yes,Yes
High,Hot,Weak,No,Yes
High,Mild,Weak,No,Yes
Low,Hot,Weak,No,No
High,Hot,Weak,Yes,Yes
High,Hot,Weak,No,Yes
High,Cool,Weak,No,Yes
Low,Mild,Weak,Yes,No
Low,Mild,Weak,No,No
Low,Mild,Strong,No,No
Low,Mild,Weak,Yes,No
Low,Cool,Weak,No,No
High,Cool,Strong,Yes,Yes
High,Mild,Strong,No,Yes
Low,Mild,Weak,No,No
Low,Cool,Weak,Yes,Yes
High,Mild,Strong,No,Yes
High,Cool,Strong,Yes,Yes
Low,Hot,Strong,No,No
High,Cool,Strong,No,Yes
Low,Mild,Weak,Yes,No
High,Hot,Weak,Yes,Yes
High,Mild,Strong,Yes,Yes
Low,Mild,Weak,Yes,No
High,Hot,Strong,Yes,Yes
High,Mild,Strong,Yes,Yes
Low,Cool,Weak,Yes,Yes
Low,Hot,Weak,Yes,No
High,Mild,Weak,No,Yes
High,Mild,Weak,No,Yes
